config,provider,placement,model,phase,num_ctx,kv_cache,n,first_call_ms,p50_ms,p95_ms,prompt_tok,completion_tok,cached_tok,tps,valid_json_ratio,cjk_ratio,latin_ratio,lang_pass_ratio,vram_used_mb,llamacpp_build,verdict,repeat,started_at
Q36-A3B,openai_compat,native,D:\Models\unsloth\Qwen3.6\Qwen3.6-35B-A3B-UD-Q3_K_XL.gguf,tick,200192,unknown,10,174,2098,3182,4719,858,1674,75.2,1.0,0.0,0.0,1.0,19620,b10441(pin),n/a,1,2026-09-11T23:53:49
Q36-A3B,openai_compat,native,D:\Models\unsloth\Qwen3.6\Qwen3.6-35B-A3B-UD-Q3_K_XL.gguf,phase2,200192,unknown,10,174,2941,3710,4204,891,1566,115.3,1.0,0.0,0.0,1.0,19620,b10441(pin),pass,1,2026-09-11T23:53:49
Q36-A3B,openai_compat,native,D:\Models\unsloth\Qwen3.6\Qwen3.6-35B-A3B-UD-Q3_K_XL.gguf,phase2-group3,200192,unknown,10,174,3665,4244,4870,1659,1548,110.8,1.0,0.0,0.006,1.0,19620,b10441(pin),pass*,1,2026-09-11T23:53:49
